iter	Passed	Remaining
775	1216	351
776	1217	349
777	1218	347
778	1219	345
779	1220	344
780	1221	342
781	1222	340
782	1223	339
783	1225	337
784	1226	335
785	1227	334
786	1228	332
787	1230	330
788	1231	329
789	1232	327
790	1233	325
791	1234	324
792	1236	322
793	1237	321
794	1238	319
795	1239	317
796	1241	316
797	1242	314
798	1244	312
799	1245	311
800	1246	309
801	1248	308
802	1249	306
803	1250	304
804	1252	303
805	1253	301
806	1254	300
807	1256	298
808	1257	296
809	1259	295
810	1260	293
811	1262	292
812	1263	290
813	1264	288
814	1265	287
815	1266	285
816	1268	284
817	1269	282
818	1270	280
819	1271	279
820	1272	277
821	1274	276
822	1275	274
823	1276	272
824	1278	271
825	1281	269
826	1283	268
827	1284	266
828	1286	265
829	1287	263
830	1290	262
831	1291	260
832	1292	259
833	1294	257
834	1295	255
835	1297	254
836	1298	252
837	1299	251
838	1301	249
839	1303	248
840	1304	246
841	1305	244
842	1306	243
843	1307	241
844	1308	240
845	1309	238
846	1310	236
847	1311	235
848	1312	233
849	1313	231
850	1314	230
851	1315	228
852	1319	227
853	1322	226
854	1324	224
855	1325	223
856	1327	221
857	1328	219
858	1329	218
859	1330	216
860	1332	215
861	1333	213
862	1334	211
863	1335	210
864	1336	208
865	1338	207
866	1339	205
867	1340	203
868	1342	202
869	1343	200
870	1345	199
871	1346	197
872	1347	196
873	1349	194
874	1350	192
875	1351	191
876	1353	189
877	1354	188
878	1355	186
879	1356	185
880	1358	183
881	1359	181
882	1361	180
883	1362	178
884	1364	177
885	1365	175
886	1367	174
887	1368	172
888	1369	171
889	1371	169
890	1373	168
891	1376	166
892	1377	165
893	1379	163
894	1381	162
895	1383	160
896	1385	159
897	1386	157
898	1390	156
899	1391	154
900	1393	153
901	1394	151
902	1395	149
903	1397	148
904	1398	146
905	1400	145
906	1401	143
907	1402	142
908	1404	140
909	1406	139
910	1407	137
911	1408	135
912	1410	134
913	1411	132
914	1412	131
915	1414	129
916	1415	128
917	1416	126
918	1418	125
919	1419	123
920	1420	121
921	1422	120
922	1423	118
923	1424	117
924	1425	115
925	1426	114
926	1427	112
927	1429	110
928	1430	109
929	1432	107
930	1433	106
931	1435	104
932	1436	103
933	1438	101
934	1439	100
935	1440	98
936	1442	96
937	1443	95
938	1444	93
939	1446	92
940	1447	90
941	1449	89
942	1450	87
943	1451	86
944	1453	84
945	1454	83
946	1455	81
947	1456	79
948	1458	78
949	1459	76
950	1460	75
951	1462	73
952	1463	72
953	1464	70
954	1465	69
955	1467	67
956	1468	65
957	1469	64
958	1471	62
959	1472	61
960	1473	59
961	1474	58
962	1476	56
963	1477	55
964	1478	53
965	1479	52
966	1480	50
967	1482	49
968	1484	47
969	1485	45
970	1486	44
971	1487	42
972	1488	41
973	1490	39
974	1491	38
975	1492	36
976	1494	35
977	1495	33
978	1497	32
979	1498	30
980	1500	29
981	1501	27
982	1502	25
983	1504	24
984	1505	22
